NAMESPACE            NAME                                                              READY   STATUS                   RESTARTS         AGE     IP              NODE   NOMINATED NODE   READINESS GATES
harbor               harbor-database-0                                                 1/1     Running                  0                4d      10.254.83.252   cp0    <none>           <none>
harbor               harbor-jobservice-dd9d85dcf-qjdlk                                 1/1     Running                  4 (3d9h ago)     4d      10.254.84.42    cp0    <none>           <none>
harbor               harbor-jobservice-dd9d85dcf-vgkxb                                 0/1     ContainerStatusUnknown   8 (4d ago)       17d     10.254.84.50    cp0    <none>           <none>
harbor               harbor-nginx-67564d75bb-fd5rl                                     0/1     Completed                1 (16d ago)      17d     10.254.84.14    cp0    <none>           <none>
harbor               harbor-nginx-67564d75bb-kl8s5                                     1/1     Running                  0                4d1h    10.254.83.233   cp0    <none>           <none>
harbor               harbor-notary-server-7685bb4b69-47j78                             0/1     Error                    5 (4d ago)       17d     10.254.84.23    cp0    <none>           <none>
harbor               harbor-notary-server-7685bb4b69-jv72c                             1/1     Running                  0                4d      10.254.84.62    cp0    <none>           <none>
harbor               harbor-notary-signer-587575fdd9-dcc2z                             0/1     Error                    3 (16d ago)      17d     10.254.83.248   cp0    <none>           <none>
harbor               harbor-notary-signer-587575fdd9-fhv4w                             1/1     Running                  0                4d      10.254.83.225   cp0    <none>           <none>
harbor               harbor-portal-74fdbbbc56-fmpl6                                    1/1     Running                  0                4d1h    10.254.83.202   cp0    <none>           <none>
harbor               harbor-portal-74fdbbbc56-wgqjx                                    0/1     ContainerStatusUnknown   1 (16d ago)      17d     10.254.83.255   cp0    <none>           <none>
harbor               harbor-redis-0                                                    1/1     Running                  0                4d      10.254.83.244   cp0    <none>           <none>
harbor               harbor-registry-c5b4ddb69-7lrvb                                   2/2     Running                  0                4d1h    10.254.84.30    cp0    <none>           <none>
harbor               harbor-registry-c5b4ddb69-m9ffq                                   0/2     ContainerStatusUnknown   2 (16d ago)      17d     10.254.84.27    cp0    <none>           <none>
harbor               harbor-trivy-0                                                    1/1     Running                  0                4d      10.254.83.234   cp0    <none>           <none>
kube-system          calico-kube-controllers-6fb6c68998-4cdjx                          1/1     Running                  1 (16d ago)      17d     10.254.83.195   cp0    <none>           <none>
kube-system          calico-node-rfbgv                                                 1/1     Running                  2 (16d ago)      17d     10.0.0.1        cp0    <none>           <none>
kube-system          calico-node-snmrg                                                 1/1     Running                  0                17d     10.0.0.2        wk1    <none>           <none>
kube-system          coredns-66456cfdf4-48cvx                                          1/1     Running                  1 (16d ago)      17d     10.254.83.194   cp0    <none>           <none>
kube-system          coredns-66456cfdf4-p68qz                                          1/1     Running                  1 (16d ago)      17d     10.254.83.193   cp0    <none>           <none>
